task_id,novel_type,novel_idea,write_style,target_reader,special_requirements,roll_num,chapter_num,word_num,status,outline_done,gen_start_time,gen_end_time
11,高武模拟,主角身处高武世界，拥有“人生模拟器”。每次模拟消耗金钱，可以预知未来。第一次模拟：出门被车撞死。第二次模拟：出门左转捡到秘籍，修炼走火入魔死。第三次模拟：苟在家里六十年，老死。主角通过无数次试错，硬生生把一条死路走通，现实中一天之内连破九境，震惊全球。,"严谨逻辑,数据流",数据流爱好者,模拟过程要简练，现实反馈要爽，突出主角全知全能的掌控感,5,10,3000,0,0,,
12,神豪亏钱,系统给主角几百亿，要求必须“亏掉”才能转化为个人资产。于是主角开始疯狂投资不靠谱项目：给乞丐投资五星级酒店、拍没人看的文艺片、研发反重力马桶。结果...乞丐把酒店做成了网红打卡点，文艺片拿了奥斯卡，马桶成了军用科技。主角看着越来越多的钱，崩溃大哭：“我真的只想亏钱啊！”,荒诞喜剧,社畜,主角越痛苦，读者越开心，配角要疯狂脑补主角的商业眼光,5,10,3000,0,0,,
13,中医显圣,在这个西医主导的世界，中医没落。主角获得“神医系统”，能看见人体的“气”和“经络”。在手术室里，西医束手无策，主角掏出一把银针，以气御针，当场起死回生。不仅仅治病，还能用点穴定住劫匪，用中药配方制作超级护肤品垄断市场。,"爽快利落,打脸",中老年/养生群体,对于治病过程的描写要玄乎其神，不明觉厉，强调传统文化的神秘感,5,10,3000,0,0,,
14,灵气复苏,本来是普通的都市日常，主角忽然发现家里的猫开始说话了，窗外的树一夜长高百米。灵气复苏，神话降临。主角开局觉醒的异能是“能听懂万物心声”。他听到楼下那条流浪狗其实是啸天犬转世，听到公园里的老头是太上老君的分身。靠着情报差，主角满世界捡漏神装。,"都市异能,捡漏",年轻学生,开头要有生活气息，突变时的震撼感要足，心声的内容要有趣,5,10,3000,0,0,,
15,末世战车,末世降临，丧尸横行。主角拥有一辆可以无限改装的“五菱宏光”。一会改装成装甲车冲撞尸潮，一会改装成房车在末日吃火锅。车内是恒温26度的天堂，车外是地狱。幸存者为了上车跪求主角，女神为了一个馒头愿意...,"废土风,生存狂",生存狂,详细描写改装车辆的细节，对比车内外的环境差异，体现末日中的优越感,5,10,3000,0,0,,
16,网游融合,主角是全服第一高手，游戏关服当天，游戏世界与现实世界融合。主角的游戏装备、技能、宠物全部具现化到现实。当其他人还在被一级小怪追着跑时，主角穿着满级神装，骑着巨龙，一刀劈开了摩天大楼。他发现，现实中的校花竟然是游戏里那个粘人的小奶妈。,"网游爽文,无敌流",游戏玩家,数据要爆炸，技能特效要华丽，掉马甲的剧情要爽,5,10,3000,0,0,,
17,斩神精神病,主角是个精神病医生，但他发现他的病人们都不正常。001号病房关着自称玉皇大帝的老头，002号关着自称孙悟空的躁郁症患者。主角在治疗（忽悠）他们的过程中，学会了七十二变、学会了言出法随。当诡异降临城市，主角穿着白大褂，带着一群精神病患者冲出医院：“别怕，医生来给你们打针了！”,"热血中二,群像",青少年,既要搞笑又要燃，病人们要有独特的人格魅力和悲情过往,5,10,3000,0,0,,
18,奶爸修仙,一代仙帝陨落，重生回到了都市，发现自己竟然有个五岁的女儿，而且老婆是豪门被弃的千金。为了给女儿赚奶粉钱，仙帝被迫直播带货/摆摊卖烧烤。女儿想要星星？摘下来。女儿被幼儿园小朋友欺负？让四大天王去当保镖。,"温馨治愈,扮猪吃虎",奶爸/女性读者,互动要甜，打脸要狠，把女儿宠上天，老婆要美,5,10,3000,0,0,,
19,无限搞笑,主角被拉入“诸天大逃杀”游戏，每场游戏只有一人能活。主角觉醒天赋“百分百被空手接白刃”（规则类因果律技能）。不管敌人多强，只要主角挥剑，对方必须跪下接剑。于是，紧张刺激的生死搏杀，变成了主角满世界追着BOSS让人家下跪的搞笑场面。,"黑色幽默,无限流",无限流玩家,严肃场景下的搞笑反转，规则的利用要巧妙,5,10,3000,0,0,,
20,大女主搞钱,女主文。主角是霸道总裁的“白月光替身”，被虐心虐身。觉醒后，主角直接“水泥封心”。总裁：“你只是她的影子。”主角：“好的老板，那工资能日结吗？”主角利用总裁的资源搞事业，成了娱乐圈顶流，最后收购了总裁的公司，拿着钱养了十个小鲜肉。总裁红着眼：“你爱过我吗？”主角：“别闹，搞钱要紧。”,"大女主爽文,娱乐圈",女性,女主台词要飒，坚决不回头，虐渣男的过程要解气,5,10,3000,0,0,,
